sport,event_id,event_name,bookmaker,team,price
icehockey_nhl,1905c4ff17dd6a03a6420e97c455167c,Vancouver Canucks vs Los Angeles Kings,DraftKings,Los Angeles Kings,1.0
icehockey_nhl,1905c4ff17dd6a03a6420e97c455167c,Vancouver Canucks vs Los Angeles Kings,DraftKings,Vancouver Canucks,36.0
icehockey_nhl,1905c4ff17dd6a03a6420e97c455167c,Vancouver Canucks vs Los Angeles Kings,BetMGM,Los Angeles Kings,1.01
icehockey_nhl,1905c4ff17dd6a03a6420e97c455167c,Vancouver Canucks vs Los Angeles Kings,BetMGM,Vancouver Canucks,19.5
icehockey_nhl,1905c4ff17dd6a03a6420e97c455167c,Vancouver Canucks vs Los Angeles Kings,ESPN BET,Los Angeles Kings,1.01
icehockey_nhl,1905c4ff17dd6a03a6420e97c455167c,Vancouver Canucks vs Los Angeles Kings,ESPN BET,Vancouver Canucks,26.0
icehockey_nhl,1905c4ff17dd6a03a6420e97c455167c,Vancouver Canucks vs Los Angeles Kings,SI Sportsbook,Los Angeles Kings,1.0
icehockey_nhl,1905c4ff17dd6a03a6420e97c455167c,Vancouver Canucks vs Los Angeles Kings,SI Sportsbook,Vancouver Canucks,19.0
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,betPARX,Boston Bruins,2.07
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,betPARX,Florida Panthers,1.77
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,BetRivers,Boston Bruins,2.07
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,BetRivers,Florida Panthers,1.77
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,DraftKings,Boston Bruins,2.1
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,DraftKings,Florida Panthers,1.77
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,FanDuel,Boston Bruins,2.12
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,FanDuel,Florida Panthers,1.75
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,ESPN BET,Boston Bruins,2.1
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,ESPN BET,Florida Panthers,1.77
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,BetMGM,Boston Bruins,2.1
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,BetMGM,Florida Panthers,1.77
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,SI Sportsbook,Boston Bruins,2.05
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,SI Sportsbook,Florida Panthers,1.75
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,Caesars,Boston Bruins,2.05
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,Caesars,Florida Panthers,1.8
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,WynnBET,Boston Bruins,2.08
icehockey_nhl,e68ea688721505f9e340a01425e732cf,Florida Panthers vs Boston Bruins,WynnBET,Florida Panthers,1.85
icehockey_nhl,e6c1d2dad6a7cbe1185c564f97ff920c,Pittsburgh Penguins vs Carolina Hurricanes,betPARX,Carolina Hurricanes,1.54
icehockey_nhl,e6c1d2dad6a7cbe1185c564f97ff920c,Pittsburgh Penguins vs Carolina Hurricanes,betPARX,Pittsburgh Penguins,2.5
icehockey_nhl,e6c1d2dad6a7cbe1185c564f97ff920c,Pittsburgh Penguins vs Carolina Hurricanes,BetRivers,Carolina Hurricanes,1.54
icehockey_nhl,e6c1d2dad6a7cbe1185c564f97ff920c,Pittsburgh Penguins vs Carolina Hurricanes,BetRivers,Pittsburgh Penguins,2.5
icehockey_nhl,e6c1d2dad6a7cbe1185c564f97ff920c,Pittsburgh Penguins vs Carolina Hurricanes,DraftKings,Carolina Hurricanes,1.52
